option_text;del_yn;status_id;question_master_id

Apache License 1.0;N;2;1000
Apache License 3.0;N;2;1000
MIT License;N;2;1000
Apache Free License;N;2;1000
BSD License;N;2;1000
GPL License;N;2;1000
SQL 형식의 Query를 통해 질의한다;N;2;1001
Hive 고유의 Command Line Tool을 제공한다;N;2;1001
Apache Hadoop의 Sub-Project였다;N;2;1001
Map Reduce로 Job을 관리할 때 보다 유지보수가 간편하다;N;2;1002
SQL-Like Language를 제공하여 편리한 사용자 경험을 제공한다;N;2;1002
확장을 위해 UDF, UDTF등을 사용할 수 있다;N;2;1002
ORC나 Parquet등의 효율화된 Columnar storage format을 이용 가능하다;N;2;1002
JOIN, Having, SubQuery, Union ALL을 지원한다;N;2;1003
Nested Structure(Map, Array)를 지원한다;N;2;1003
Partitioning을 통해 Full Scan을 방지할 수 있다;N;2;1003
Parallel Option을 통해 Job을 병렬로 수행할 수 있다;N;2;1003
SORT BY 구문을 통해 정렬 시 Reducer가 반드시 1개만 수행된다;N;2;1004
Hive의 Group By 문은 반드시 Reducer에서만 실행이 가능하다;N;2;1004
CREATE 문을 통해 TABLE을 생성 시, Init Check를 하기 위한 Location을 반드시 지정해야 한다;N;2;1004
EXPLAIN을 Query 앞에 붙여 실행 계획을 확인할 수 있다;N;2;1005
Execution Engine으로 MapReduce외의 다른 Engine을 선택할 수 있다;N;2;1005
Hive 실행 계획은 Stage 단위로 분할되어 처리되게 된다;N;2;1005
ADD JAR ${JarLocation};N;2;1006
CREATE DATABASE ${databaseName};N;2;1006
SET hive.map.aggr=true;N;2;1006
SELECT * FROM tableA LIMIT 5;N;2;1006
Data를 Partitioning하여 물리적 보안을 강화한다;N;2;1007
Data를 Partitioning하여 Network 전송 시 보안을 강화한다;N;2;1007
Data를 정렬된 상태로 유지하여 성능 향상에 도움을 준다;N;2;1007
Data를 병렬로 Load할 수 있도록 도와준다;N;2;1007
Multi Insert Statement의 사용이 가능하다(From Insert~ Insert~);N;2;1008
Dynamic Partition의 사용이 가능하다;N;2;1008
Static Partition의 사용이 가능하다;N;2;1008
Parallel Execution을 통해 성능 향상이 가능하다;N;2;1009
중간 처리 결과를 압축하여 성능 향상이 가능하다;N;2;1009
Partitioning을 이용하여 성능 향상이 가능하다;N;2;1009
Vectorization를 이용하여 성능 향상이 가능하다;N;2;1009
hive.exec.dynamicpartition=true Option을 통해 사용이 가능하다;N;2;1010
hive.exec.dynamicpartition.mode를 strict로 지정하더라도 Static Partition이 한개 이상 있을 시, Dynamic partition을 지정할 수 있다;N;2;1010
Dynamic Partition을 기술한 순서대로 key=value 구조로 하위 Directory가 생성된다;N;2;1010
Partition 지정 시, PARTITION clause 안에 파티션 키가 될 Column name을 기록한다;N;2;1010
지정한 Column의 값이 같은 것은 동일한 Mapper로 처리가 가능하다;N;2;1011
지정한 Column의 값이 같은 것은 동일한 SerDe/UDF로 처리가 가능하다;N;2;1011
지정한 Column의 값이 같은 것은 동일한 Partitioner로 처리가 가능하다;N;2;1011
JDBC;N;2;1012
ODBC;N;2;1012
Thrift Server;N;2;1012
CLI;N;2;1012
Beeline;N;2;1013
Hive CLI;N;2;1013
RDB;N;2;1013
Bootstrap;N;2;1013
HDFS;N;2;1013
hive-setting.xml;N;2;1014
hive-settings.xml;N;2;1014
hive-config.xml;N;2;1014
hive-keyval.xml;N;2;1014
hive -d;N;2;1015
hive -q;N;2;1015
hive -e;N;2;1015
hive -l;N;2;1015
hive -d;N;2;1016
hive -q;N;2;1016
hive -f;N;2;1016
hive -l;N;2;1016
BOOLEAN;N;2;1017
TIMESTAMP;N;2;1017
VARCHAR;N;2;1017
MAP type;N;2;1017
LINES TERMINATED BY '\t';N;2;1018
COLLECTION ITEMS TERMINATED BY '\t';N;2;1018
COLUMN TERMINATED BY '\t';N;2;1018
ITEMS TERMINATED BY '\t';N;2;1018
CREATE TABLE WITH IGNORE TEST;N;2;1019
CREATE TABLE WITH NO ERROR TEST;N;2;1019
CREATE TABLE AS IGNORE TEST;N;2;1019
CREATE TABLE LIKE TEST;N;2;1019
list databases;N;2;1020
view databases;N;2;1020
list all databases;N;2;1020
all databases;N;2;1020
show tableName;N;2;1021
info tableName;N;2;1021
about tableName;N;2;1021
location tableName;N;2;1021
